"","name","country.etc","pop","lat","long","capital","Score","Tweets"
"467","Agartala","India",206666,23.84,91.27,0,-4,2
"655","Aizawl","India",274875,23.71,92.71,0,-4,2
"4280","Bhopal","India",1643049,23.24,77.4,0,0,0
"4282","Bhubaneswar","India",794039,20.27,85.84,0,0,0
"4905","Bombay","India",12883645,18.96,72.82,0,2,8
"6132","Calcutta","India",4638350,22.57,88.36,0,1,2
"7095","Chandigarh","India",942769,30.75,76.78,0,0,5
"9076","Delhi","India",11215130,28.67,77.21,0,1,5
"12136","Gandhinagar","India",241122,23.3,72.63,0,0,1
"15072","Hyderabad","India",3632094,17.4,78.48,0,-4,8
"15377","Imphal","India",224825,24.79,93.94,0,0,0
"15927","Jaipur","India",2817522,26.92,75.8,0,0,0
"16003","Jammu","India",490308,32.71,74.85,0,-1,4
"18502","Kohima","India",95748,25.67,94.11,0,1,1
"22031","Madras","India",4352932,13.09,80.27,0,0,2
"28039","Panaji","India",67364,15.5,73.81,0,0,0
"28376","Patna","India",1660126,25.62,85.13,0,0,0
"29450","Pondicherry","India",228793,11.94,79.83,0,0,4
"29559","Port Blair","India",115105,11.67,92.76,0,0,0
"30674","Raipur","India",699683,21.24,81.63,0,0,0
"30785","Ranchi","India",970602,23.36,85.33,0,1,2
"34850","Shillong","India",132612,25.57,91.87,0,1,1
"34862","Shimla","India",182398,31.11,77.16,0,0,5
"36048","Srinagar","India",996400,34.09,74.79,0,0,1
"38026","Thiruvananthapuram","India",793841,8.51,76.95,0,0,2
